asset_id,asset_type,file_name,question_text,answer,question_number,round_number,prompt_hint
q14,question_scene,scene_q14_rummenigge.png,"Karl-Heinz Rummenigge war Stürmer bei welchem Verein in Italien?","Inter Mailand",14,2,"Inter Milan San Siro stadium Italy Serie A German striker 1980s vintage"
q15,question_scene,scene_q15_7zu1.png,"Mit welchem Ergebnis besiegte Deutschland Brasilien im WM-Halbfinale 2014?","7:1",15,2,"Germany Brazil 7-1 World Cup 2014 semifinal Belo Horizonte stadium historic"
q16,question_scene,scene_q16_schalke.png,"In welcher Stadt liegt das Stadion von Schalke 04?","Gelsenkirchen",16,2,"Veltins Arena Gelsenkirchen Schalke 04 stadium aerial view night lights"
q17,question_scene,scene_q17_matthaeus.png,"Lothar Matthäus wurde bei welcher WM zum besten Spieler gewählt?","1990",17,2,"Lothar Matthaeus Germany 1990 World Cup Italy captain trophy golden ball"
q18,question_scene,scene_q18_em2024.png,"Deutschland war Gastgeber der Europameisterschaft in welchem Jahr?","2024",18,2,"Euro 2024 Germany host cities stadiums modern football tournament aerial"
q19,question_scene,scene_q19_seeler.png,"Wie heißt die Fußball-Legende, die das Wappen des Hamburger SV ziert?","Uwe Seeler",19,2,"Uwe Seeler Hamburg SV legend portrait German football 1960s stadium"
q20,question_scene,scene_q20_dfb_pokal.png,"Wie heißt der wichtigste deutsche Fußball-Pokalwettbewerb?","DFB-Pokal",20,2,"DFB Pokal final Berlin Olympiastadion trophy celebration German Cup"
round_03,title_card,round_03_experten_modus.png,"RUNDE 3: EXPERTEN-MODUS",,,,
q21,question_scene,scene_q21_wm_tore.png,"Wie viele WM-Tore erzielte Miroslav Klose in seiner Karriere insgesamt?","16 Tore",21,3,"Miroslav Klose record World Cup goals celebration career montage football"
q22,question_scene,scene_q22_voeller.png,"Rudi Völler erzielte im WM-Finale 1986 ein Tor — gegen wen?","Argentinien",22,3,"1986 World Cup final Mexico Rudi Voeller Germany Argentina Maradona stadium"
q23,question_scene,scene_q23_champions.png,"Welcher deutsche Klub gewann 2013 die UEFA Champions League?","Bayern München",23,3,"Bayern Munich Champions League 2013 Wembley final trophy celebration"
q24,question_scene,scene_q24_lahm.png,"Philipp Lahm spielte bei der WM 2014 hauptsächlich auf welcher Position?","Defensives Mittelfeld",24,3,"Philipp Lahm Germany 2014 World Cup defensive midfielder captain armband"
q25,question_scene,scene_q25_bundesliga_rekord.png,"Wer hält den Rekord für die meisten Bundesliga-Tore in einer Saison?","Robert Lewandowski",25,3,"Robert Lewandowski Bayern Munich Bundesliga record goals celebration 2021"
q26,question_scene,scene_q26_borussia_mg.png,"Wie lautet der Spitzname von Borussia Mönchengladbach?","Die Fohlen",26,3,"Borussia Moenchengladbach stadium fans green white colors Bundesliga atmosphere"
q27,question_scene,scene_q27_scholl.png,"Mehmet Scholl spielte seine gesamte Profikarriere bei welchem Verein?","Bayern München",27,3,"Mehmet Scholl Bayern Munich Allianz Arena midfielder German football legend"
q28,question_scene,scene_q28_wm1966.png,"Deutschland verlor das WM-Finale 1966 gegen welches Land?","England",28,3,"1966 World Cup final Wembley England Germany controversial goal historic"
q29,question_scene,scene_q29_adler.png,"Wie heißt der Spitzname der deutschen Fußballnationalmannschaft?","Die Mannschaft",29,3,"Germany national football team Die Mannschaft eagle logo jersey cinematic"
q30,question_scene,scene_q30_lewandowski.png,"Robert Lewandowski wechselte 2022 von Bayern München zu welchem Verein?","FC Barcelona",30,3,"Robert Lewandowski FC Barcelona Camp Nou presentation signing 2022"
round_04,title_card,round_04_harte_nuesse.png,"RUNDE 4: HARTE NÜSSE",,,,
q31,question_scene,scene_q31_wm_schiedsrichter.png,"Wer war der Schiedsrichter im berühmten WM-Finale 1966?","Gottfried Dienst",31,4,"1966 World Cup final referee Gottfried Dienst Wembley controversial decision"
q32,question_scene,scene_q32_overath.png,"Wolfgang Overath gewann mit Deutschland die WM in welchem Jahr?","1974",32,4,"Wolfgang Overath Germany 1974 World Cup winner midfielder vintage football"
q33,question_scene,scene_q33_bundesliga_abstieg.png,"Welcher Rekordmeister stieg 2021 erstmals in die 3. Liga ab?","Schalke 04",33,4,"Schalke 04 relegation 2021 empty stadium sad fans Bundesliga third division"
q34,question_scene,scene_q34_breitner.png,"Paul Breitner erzielte bei welcher WM zwei Finaltore?","1974 und 1982",34,4,"Paul Breitner Germany World Cup 1974 1982 final goal cinematic vintage"
q35,question_scene,scene_q35_bvb_treble.png,"Borussia Dortmund gewann das Champions-League-Finale 1997 gegen welchen Gegner?","Juventus Turin",35,4,"Borussia Dortmund Champions League 1997 final Munich Juventus trophy Karl-Heinz Riedle"
q36,question_scene,scene_q36_netzer.png,"Günter Netzer spielte nach seiner Zeit bei Borussia Mönchengladbach bei welchem Verein?","Real Madrid",36,4,"Gunter Netzer Real Madrid Bernabeu 1970s German midfielder Spanish football"
q37,question_scene,scene_q37_wm_gastgeber.png,"Deutschland war WM-Gastgeber in welchen Jahren?","1974 und 2006",37,4,"Germany World Cup host 1974 2006 stadiums collage football history"
q38,question_scene,scene_q38_kirch.png,"In welchem Jahr wurde die Bundesliga durch den Kirch-Skandal erschüttert?","2002",38,4,"Bundesliga 2002 Kirch media scandal German football crisis historic newspaper"
q39,question_scene,scene_q39_em_titel.png,"Wie viele Europameistertitel hat Deutschland gewonnen?","3 Titel",39,4,"Germany European Championship titles 1972 1980 1996 trophy collection"
q40,question_scene,scene_q40_bierhoff.png,"Oliver Bierhoff erzielte im EM-Finale 1996 das erste Golden Goal der Geschichte — gegen wen?","Tschechien",40,4,"Oliver Bierhoff Euro 1996 golden goal final Wembley Czech Republic celebration"
round_05,title_card,round_05_finale.png,"RUNDE 5: DAS FINALE",,,,
q41,question_scene,scene_q41_wm1954_gegner.png,"Gegen wen gewann Deutschland das WM-Finale 1954 in Bern?","Ungarn",41,5,"1954 World Cup final Bern Switzerland Germany Hungary Miracle of Bern historic"
q42,question_scene,scene_q42_rekordsiege.png,"Wie hoch war Deutschlands höchster WM-Sieg (gegen Saudi-Arabien 2002)?","8:0",42,5,"Germany Saudi Arabia 8-0 World Cup 2002 Sapporo Japan historic victory"
q43,question_scene,scene_q43_bundesliga_zuschauer.png,"Welche Bundesliga-Mannschaft hat den höchsten Zuschauerschnitt?","Borussia Dortmund",43,5,"Borussia Dortmund Signal Iduna Park Südtribüne yellow wall fans record attendance"
q44,question_scene,scene_q44_muehren.png,"Wer erzielte das Tor zum 3:2 im WM-Finale 1954 — das legendäre Wunder von Bern?","Helmut Rahn",44,5,"Helmut Rahn Germany 1954 World Cup final goal Bern Switzerland historic black white"
q45,question_scene,scene_q45_dfb_rekord.png,"Deutschlands höchster Länderspielsieg: 16:0 gegen welches Land (1912)?","Russland",45,5,"Germany Russia 16-0 1912 historic football match vintage black white archive"
q46,question_scene,scene_q46_bvb_trainer.png,"Welcher Trainer führte Borussia Dortmund 2011 und 2012 zur Bundesliga-Meisterschaft?","Jürgen Klopp",46,5,"Jurgen Klopp Borussia Dortmund Bundesliga champion 2011 2012 celebration trophy"
q47,question_scene,scene_q47_em1980.png,"Wo fand die Europameisterschaft 1980 statt, die Deutschland gewann?","Italien",47,5,"Euro 1980 Italy Germany European Championship winner trophy Rome stadium vintage"
q48,question_scene,scene_q48_wm_kapitaen.png,"Wer war Kapitän der deutschen Weltmeistermannschaft 2014?","Philipp Lahm",48,5,"Philipp Lahm Germany 2014 World Cup captain armband trophy lift Maracana"
q49,question_scene,scene_q49_ballon_dor.png,"Welcher deutsche Spieler gewann 2013 den Ballon d'Or?","Franck Ribéry",49,5,"Franck Ribery Bayern Munich Ballon dOr 2013 award ceremony trophy French German"
q50,question_scene,scene_q50_klose_record.png,"Miroslav Klose übertraf bei der WM 2014 den Torrekord von wem?","Ronaldo",50,5,"Miroslav Klose Germany 2014 World Cup record goal Brazil Ronaldo Brazil legend"
outro,outro,outro_scoreboard.png,"Wie viele hast du richtig?",,,,
end_screen,outro,end_screen.png,"Abonniere für mehr Fußball-Quizze!",,,,
