asset_id,asset_type,file_name,question_text,answer,question_number,round_number,prompt_hint
q28,question_scene,scene_q28_30_rock.png,"A comedy writer struggles to run a sketch comedy show with a demanding star and crazy boss","30 Rock",28,3,"30 Rockefeller Plaza New York NBC studios Manhattan skyscraper comedy writers room"
q29,question_scene,scene_q29_mad_men.png,"An advertising executive hides his true identity while working on Madison Avenue in 1960s New York","Mad Men",29,3,"1960s Madison Avenue New York advertising agency retro office vintage suits cigarettes"
q30,question_scene,scene_q30_six_feet_under.png,"A family runs a funeral home in Los Angeles after the patriarch dies","Six Feet Under",30,3,"Los Angeles funeral home Victorian house hearse dark comedy family drama California"
round_04,title_card,round_04_reality_game.png,"ROUND 4: REALITY & GAME SHOWS",,,,
q31,question_scene,scene_q31_american_idol.png,"Amateur singers compete for a record deal before a panel of celebrity judges","American Idol",31,4,"music competition stage microphone spotlight audience talent show singing performance"
q32,question_scene,scene_q32_the_voice.png,"Coaches compete to find the best unsigned singing talent in blind auditions","The Voice",32,4,"red spinning chairs music competition stage blind audition singing coaches NBC"
q33,question_scene,scene_q33_dancing_stars.png,"Celebrities are paired with professional dancers and compete weekly","Dancing with the Stars",33,4,"ballroom dancing competition glitter elegant couples dance floor ballroom TV studio"
q34,question_scene,scene_q34_the_bachelor.png,"One man dates 30 women simultaneously searching for his future wife","The Bachelor",34,4,"rose ceremony mansion garden romantic reality TV dating show proposal rose"
q35,question_scene,scene_q35_jeopardy.png,"Contestants answer trivia questions in the form of questions to win cash prizes","Jeopardy!",35,4,"game show set blue board categories answer questions podiums classic American TV"
q36,question_scene,scene_q36_wheel_of_fortune.png,"Contestants spin a wheel and solve word puzzles to win cash and prizes","Wheel of Fortune",36,4,"colorful spinning wheel game show puzzle board letters glamorous TV studio"
q37,question_scene,scene_q37_big_brother.png,"Houseguests live together 24/7 competing in challenges and evicting each other","Big Brother",37,4,"reality TV house competition cameras surveillance houseguests elimination drama CBS"
q38,question_scene,scene_q38_the_amazing_race.png,"Teams of two race around the world completing challenges to win one million dollars","The Amazing Race",38,4,"world travel airport race teams globe trotting adventure diverse countries competition"
q39,question_scene,scene_q39_shark_tank.png,"Entrepreneurs pitch their business ideas to wealthy investors hoping for funding","Shark Tank",39,4,"business pitch boardroom investors entrepreneurs product presentation deal making"
q40,question_scene,scene_q40_americas_got_talent.png,"Performers of all types compete for a one million dollar prize and Las Vegas show","America's Got Talent",40,4,"Las Vegas performance stage magic acts circus performers talent show spectacular"
round_05,title_card,round_05_expert.png,"ROUND 5: EXPERT LEVEL",,,,
q41,question_scene,scene_q41_wire.png,"Baltimore police investigate drug trade while the drug dealers fight to survive","The Wire",41,5,"Baltimore Maryland urban city police detective wire surveillance drug crime drama"
q42,question_scene,scene_q42_deadwood.png,"A lawless mining town in 1800s South Dakota slowly becomes civilized","Deadwood",42,5,"1800s Wild West mining town muddy street saloon gold rush South Dakota frontier"
q43,question_scene,scene_q43_band_brothers.png,"The true story of Easy Company soldiers from D-Day to the end of World War II","Band of Brothers",43,5,"World War II soldiers Normandy Europe parachute army military history dramatic"
q44,question_scene,scene_q44_rome.png,"Two Roman soldiers witness the transformation of Rome from Republic to Empire","Rome",44,5,"ancient Rome Colosseum Forum senators toga Roman Empire dramatic historical epic"
q45,question_scene,scene_q45_arrested_development.png,"A wealthy but dysfunctional family loses their fortune and must start over","Arrested Development",45,5,"Orange County California beach house dysfunctional family comedy suburban absurd"
q46,question_scene,scene_q46_curb_enthusiasm.png,"Larry David navigates awkward social situations in Los Angeles","Curb Your Enthusiasm",46,5,"Los Angeles suburban neighborhood social awkwardness comedy Beverly Hills California"
q47,question_scene,scene_q47_it_crowd.png,"Socially inept IT workers deal with clueless office colleagues in London","The IT Crowd",47,5,"London office basement IT department computers nerds quirky British comedy workplace"
q48,question_scene,scene_q48_true_detective.png,"Two Louisiana detectives hunt a serial killer across seventeen years","True Detective",48,5,"Louisiana bayou swamp detective crime scene dark atmospheric Southern Gothic mystery"
q49,question_scene,scene_q49_fargo.png,"A Minnesota crime drama series inspired by the Coen Brothers film","Fargo",49,5,"Minnesota winter snow small town crime police Midwest blizzard dark comedy crime"
q50,question_scene,scene_q50_black_mirror.png,"Anthology series exploring dark and twisted consequences of modern technology","Black Mirror",50,5,"futuristic technology dystopia screens dark digital world near future unsettling"
outro,outro,outro_scoreboard.png,"How many did you get right?",,,,
end_screen,outro,end_screen.png,"Subscribe for more TV Trivia Quizzes!",,,,
