asset_id,asset_type,file_name,round,question_number,question_text,answer,main_visual_clue,stat_pct,image_prompt
q16,question_scene,scene_q16.png,2,16,Which country is this dish from?,Ethiopia,,,colorful injera flatbread with stews traditional Ethiopian platter appetizing food photography no text no words
q17,question_scene,scene_q17.png,2,17,Which country is this dish from?,Peru,,,fresh ceviche with lime and red onion Peruvian coastal dish appetizing food photography no text no words
q18,question_scene,scene_q18.png,2,18,Which country is this dish from?,Morocco,,,fragrant tagine with dried fruit and spices Moroccan clay pot appetizing food photography no text no words
q19,question_scene,scene_q19.png,2,19,Which country is this dish from?,Philippines,,,adobo chicken simmered in dark sauce Filipino home kitchen appetizing food photography no text no words
q20,question_scene,scene_q20.png,2,20,Which country is this dish from?,Poland,,,hearty pierogi dumplings with sour cream Polish kitchen table appetizing food photography no text no words
round_03,title_card,round_03_expert.png,ROUND 3,,ROUND 3: EXPERT LEVEL,,,,fine dining restaurant kitchen chef plating dramatic lighting cinematic wide shot no text no words no letters
q21,question_scene,scene_q21.png,3,21,Which country is this dish from?,Hungary,,,rich goulash stew with paprika rustic Hungarian bowl appetizing food photography no text no words
q22,question_scene,scene_q22.png,3,22,Which country is this dish from?,Argentina,,,thin empanadas golden pastry on rustic board Argentine bakery appetizing food photography no text no words
q23,question_scene,scene_q23.png,3,23,Which country is this dish from?,Indonesia,,,satay skewers with peanut sauce Indonesian street food appetizing food photography no text no words
q24,question_scene,scene_q24.png,3,24,Which country is this dish from?,Portugal,,,golden custard tarts pastel de nata Portuguese bakery display appetizing food photography no text no words
q25,question_scene,scene_q25.png,3,25,Which country is this dish from?,Jamaica,,,jerk chicken smoking on grill Caribbean beachside stall appetizing food photography no text no words
q26,question_scene,scene_q26.png,3,26,Which country is this dish from?,Russia,,,hearty borscht soup with sour cream rustic bowl Russian kitchen appetizing food photography no text no words
q27,question_scene,scene_q27.png,3,27,Which country is this dish from?,Egypt,,,koshari rice lentils and crispy onions Egyptian street food appetizing food photography no text no words
q28,question_scene,scene_q28.png,3,28,Which country is this dish from?,Malaysia,,,vibrant nasi lemak with sambal and peanuts Malaysian banana leaf appetizing food photography no text no words
q29,question_scene,scene_q29.png,3,29,Which country is this dish from?,Nigeria,,,spicy jollof rice with grilled plantain Nigerian celebration table appetizing food photography no text no words
q30,question_scene,scene_q30.png,3,30,Which country is this dish from?,Sweden,,,Swedish meatballs with lingonberry sauce cozy Scandinavian table appetizing food photography no text no words
round_04,title_card,round_04_final.png,ROUND 4,,ROUND 4: FINAL CHALLENGE,,,,golden trophy on pedestal surrounded by world cuisine dishes celebration atmosphere cinematic wide shot no text no words no letters
q31,question_scene,scene_q31.png,4,31,Which country is this dish from?,Colombia,,,arepa cornmeal cakes with fillings Colombian breakfast table appetizing food photography no text no words
q32,question_scene,scene_q32.png,4,32,Which country is this dish from?,Israel,,,fresh falafel with tahini and salad Middle Eastern plate appetizing food photography no text no words
q33,question_scene,scene_q33.png,4,33,Which country is this dish from?,Switzerland,,,melted cheese fondue with bread cubes cozy Swiss chalet table appetizing food photography no text no words
q34,question_scene,scene_q34.png,4,34,Which country is this dish from?,Cuba,,,Cuban sandwich pressed golden with pickles rustic cafe counter appetizing food photography no text no words
q35,question_scene,scene_q35.png,4,35,Which country is this dish from?,Austria,,,golden schnitzel with lemon wedge Austrian restaurant table appetizing food photography no text no words
outro,outro,outro_scoreboard.png,Outro,,How many did you get right?,,,,
end_screen,outro,end_screen.png,End,,Subscribe for more Food Quizzes!,,,,
