asset_id,asset_type,file_name,question_text,answer,question_number,round_number,prompt_hint
q17,question_scene,scene_q17_frozen.png,"Guess the movie from this scene","Frozen",17,2,"ice castle glittering on snowy mountain peak under aurora sky cinematic wide shot no text"
q18,question_scene,scene_q18_pirates_caribbean.png,"Guess the movie from this scene","Pirates of the Caribbean",18,2,"old wooden pirate ship sailing through foggy Caribbean waters cinematic wide shot no text no people"
q19,question_scene,scene_q19_rocky.png,"Guess the movie from this scene","Rocky",19,2,"stone steps leading up to museum building city skyline behind cinematic wide shot no text no people"
q20,question_scene,scene_q20_the_wizard_gandalf.png,"Guess the movie from this scene","The Lord of the Rings",20,2,"misty mountain pass with ancient stone tower and epic fantasy landscape cinematic wide shot no text"
round_03,title_card,round_03_expert_mode.png,"ROUND 3: EXPERT MODE",,,,
q21,question_scene,scene_q21_psycho.png,"Guess the movie from this scene","Psycho",21,3,"gothic old house on hill behind motel sign black and white eerie cinematic wide shot no text no people"
q22,question_scene,scene_q22_casablanca.png,"Guess the movie from this scene","Casablanca",22,3,"foggy airport tarmac at night vintage airplane silhouette black and white cinematic wide shot no text no people"
q23,question_scene,scene_q23_gladiator.png,"Guess the movie from this scene","Gladiator",23,3,"ancient Roman Colosseum arena sand floor dramatic lighting cinematic wide shot no text no people"
q24,question_scene,scene_q24_the_departed.png,"Guess the movie from this scene","The Departed",24,3,"Boston city rooftop nighttime skyline gritty urban atmosphere cinematic wide shot no text no people"
q25,question_scene,scene_q25_the_grand_budapest.png,"Guess the movie from this scene","The Grand Budapest Hotel",25,3,"pastel pink ornate hotel building on snowy mountain symmetrical whimsical cinematic wide shot no text"
q26,question_scene,scene_q26_mad_max.png,"Guess the movie from this scene","Mad Max: Fury Road",26,3,"post-apocalyptic desert wasteland with modified vehicle dust storm cinematic wide shot no text no people"
q27,question_scene,scene_q27_the_wizard_potter.png,"Guess the movie from this scene","Harry Potter",27,3,"tall gothic castle with towers overlooking lake at dusk magical cinematic wide shot no text no people"
q28,question_scene,scene_q28_blade_runner.png,"Guess the movie from this scene","Blade Runner",28,3,"neon-lit futuristic cityscape rain falling flying vehicles cinematic wide shot no text no people"
q29,question_scene,scene_q29_the_godfather.png,"Guess the movie from this scene","The Godfather",29,3,"dark wood-paneled office desk with single lamp shadowy Italian decor cinematic wide shot no people"
q30,question_scene,scene_q30_up.png,"Guess the movie from this scene","Up",30,3,"small house lifted by hundreds of colorful balloons floating over clouds cinematic wide shot no text"
round_04,title_card,round_04_final_challenge.png,"ROUND 4: FINAL CHALLENGE",,,,
q31,question_scene,scene_q31_2001_space_odyssey.png,"Guess the movie from this scene","2001: A Space Odyssey",31,4,"black monolith standing on desolate lunar surface stars above cinematic wide shot no text no people"
q32,question_scene,scene_q32_pulp_fiction.png,"Guess the movie from this scene","Pulp Fiction",32,4,"retro diner booth with jukebox neon signs 1990s Los Angeles cinematic wide shot no text no people"
q33,question_scene,scene_q33_alien.png,"Guess the movie from this scene","Alien",33,4,"dark spaceship corridor with dripping walls ominous shadows sci-fi cinematic wide shot no text no people"
q34,question_scene,scene_q34_amelie.png,"Guess the movie from this scene","Amelie",34,4,"charming Parisian cafe street corner cobblestone warm golden light cinematic wide shot no text no people"
q35,question_scene,scene_q35_the_shawshank.png,"Guess the movie from this scene","The Shawshank Redemption",35,4,"old stone prison building courtyard dramatic sky cinematic wide shot no text no people"
outro,outro,outro_scoreboard.png,"How many did you get right?",,,,
end_screen,outro,end_screen.png,"Subscribe for more Movie Trivia Quizzes!",,,,
