asset_id,asset_type,file_name,round,question_number,question_text,answer,main_visual_clue,image_prompt,video_prompt
q17,question_scene,scene_q08_17_red_bull.png,ROUND 2: MEDIUM,17,What brand is this? 🐂🔴,Red Bull,Red Bull emoji,,"Animate emoji reveal, 3-second pause, answer reading Red Bull."
q18,question_scene,scene_q08_18_lego.png,ROUND 2: MEDIUM,18,What brand is this? 🧱🇩🇰,Lego,Lego emoji,,"Animate emoji reveal, 3-second pause, answer reading Lego."
q19,question_scene,scene_q08_19_tinder.png,ROUND 2: MEDIUM,19,What brand is this? 🔥❤️,Tinder,Tinder emoji,,"Animate emoji reveal, 3-second pause, answer reading Tinder."
q20,question_scene,scene_q08_20_discord.png,ROUND 2: MEDIUM,20,What brand is this? 🎮💬,Discord,Discord emoji,,"Animate emoji reveal, 3-second pause, answer reading Discord."
round_03,title_card,round_03_tricky.png,ROUND 3: TRICKY,,ROUND 3: TRICKY,,,,
q21,question_scene,scene_q08_21_pringles.png,ROUND 3: TRICKY,21,What brand is this? 🥔🥫,Pringles,Pringles emoji,,"Animate emoji reveal, 3-second pause, answer reading Pringles."
q22,question_scene,scene_q08_22_nike.png,ROUND 3: TRICKY,22,What brand is this? ✔️👟,Nike,Nike emoji,,"Animate emoji reveal, 3-second pause, answer reading Nike."
q23,question_scene,scene_q08_23_playboy.png,ROUND 3: TRICKY,23,What brand is this? 🐰🎩,Playboy,Playboy emoji,,"Animate emoji reveal, 3-second pause, answer reading Playboy."
q24,question_scene,scene_q08_24_lacoste.png,ROUND 3: TRICKY,24,What brand is this? 🐊👕,Lacoste,Lacoste emoji,,"Animate emoji reveal, 3-second pause, answer reading Lacoste."
q25,question_scene,scene_q08_25_pinterest.png,ROUND 3: TRICKY,25,What brand is this? 📌🅿️,Pinterest,Pinterest emoji,,"Animate emoji reveal, 3-second pause, answer reading Pinterest."
q26,question_scene,scene_q08_26_wwf.png,ROUND 3: TRICKY,26,What brand is this? 🐼🌍,WWF,WWF emoji,,"Animate emoji reveal, 3-second pause, answer reading WWF."
q27,question_scene,scene_q08_27_monopoly.png,ROUND 3: TRICKY,27,What brand is this? 🎩💰🎲,Monopoly,Monopoly emoji,,"Animate emoji reveal, 3-second pause, answer reading Monopoly."
q28,question_scene,scene_q08_28_duracell.png,ROUND 3: TRICKY,28,What brand is this? 🔋🐰,Duracell,Duracell emoji,,"Animate emoji reveal, 3-second pause, answer reading Duracell."
q29,question_scene,scene_q08_29_ferrari.png,ROUND 3: TRICKY,29,What brand is this? 🐎🏎️,Ferrari,Ferrari emoji,,"Animate emoji reveal, 3-second pause, answer reading Ferrari."
q30,question_scene,scene_q08_30_bluetooth.png,ROUND 3: TRICKY,30,What brand is this? 🦷📶,Bluetooth,Bluetooth emoji,,"Animate emoji reveal, 3-second pause, answer reading Bluetooth."
outro,title_card,outro_quiz8.png,Outro,,How many did you get right?,,scoreboard,,
