asset_id,asset_type,file_name,question_text,answer,question_number,round_number,prompt_hint
q37,question_scene,scene_q37_ohio.png,Which state has this shape?,"Ohio",37,4,Ohio outline shape silhouette
q38,question_scene,scene_q38_pennsylvania.png,Which state has this shape?,"Pennsylvania",38,4,Pennsylvania outline shape silhouette
q39,question_scene,scene_q39_new_york.png,Which state has this shape?,"New York",39,4,New York outline shape silhouette
q40,question_scene,scene_q40_new_jersey.png,Which state has this shape?,"New Jersey",40,4,New Jersey outline shape silhouette
round_05,title_card,round_05_final_shapes.png,ROUND 5: FINAL CHALLENGE,,,,
q41,question_scene,scene_q41_delaware.png,Which state has this shape?,"Delaware",41,5,Delaware outline shape silhouette
q42,question_scene,scene_q42_north_dakota.png,Which state has this shape?,"North Dakota",42,5,North Dakota outline shape silhouette
q43,question_scene,scene_q43_south_dakota.png,Which state has this shape?,"South Dakota",43,5,South Dakota outline shape silhouette
q44,question_scene,scene_q44_nebraska.png,Which state has this shape?,"Nebraska",44,5,Nebraska outline shape silhouette
q45,question_scene,scene_q45_kansas.png,Which state has this shape?,"Kansas",45,5,Kansas outline shape silhouette
q46,question_scene,scene_q46_montana.png,Which state has this shape?,"Montana",46,5,Montana outline shape silhouette
q47,question_scene,scene_q47_oregon.png,Which state has this shape?,"Oregon",47,5,Oregon outline shape silhouette
q48,question_scene,scene_q48_washington.png,Which state has this shape?,"Washington",48,5,Washington state outline shape silhouette
q49,question_scene,scene_q49_arizona.png,Which state has this shape?,"Arizona",49,5,Arizona outline shape silhouette
q50,question_scene,scene_q50_wisconsin.png,Which state has this shape?,"Wisconsin",50,5,Wisconsin outline shape silhouette
outro,outro,outro_scoreboard.png,How many did you get right?,,,,
end_screen,outro,end_screen.png,Subscribe for more US Geography Quizzes!,,,,
